OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2731,2015/01/10 16:00:00+00,SC,São Cristóvão,O3,Regular,69
2732,2015/01/10 16:00:00+00,SP,Tijuca,O3,Regular,97
2733,2015/01/10 16:00:00+00,IR,Irajá,O3,Regular,98
2734,2015/01/10 16:00:00+00,BG,Bangu,O3,Regular,92
2735,2015/01/10 16:00:00+00,CG,Campo Grande,O3,Regular,69
2736,2015/01/10 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,67
2737,2015/01/11 16:00:00+00,CA,Centro,O3,Regular,69
2738,2015/01/11 16:00:00+00,AV,Copacabana,PI,Regular,64
2739,2015/01/11 16:00:00+00,SC,São Cristóvão,O3,Inadequada,104
2740,2015/01/11 16:00:00+00,SP,Tijuca,O3,Inadequada,172
2741,2015/01/11 16:00:00+00,IR,Irajá,O3,Inadequada,159
2742,2015/01/11 16:00:00+00,BG,Bangu,O3,Inadequada,105
2743,2015/01/11 16:00:00+00,CG,Campo Grande,O3,Regular,84
2744,2015/01/11 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,69
2745,2015/01/12 16:00:00+00,CA,Centro,O3,Regular,90
2746,2015/01/12 16:00:00+00,AV,Copacabana,PI,Regular,68
2747,2015/01/12 16:00:00+00,SC,São Cristóvão,O3,Inadequada,184
2748,2015/01/12 16:00:00+00,SP,Tijuca,O3,Inadequada,135
2749,2015/01/12 16:00:00+00,IR,Irajá,O3,Regular,99
2750,2015/01/12 16:00:00+00,BG,Bangu,O3,Regular,88
2751,2015/01/12 16:00:00+00,CG,Campo Grande,O3,Regular,85
2752,2015/01/12 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,85
2753,2015/01/13 16:00:00+00,CA,Centro,O3,Regular,77
2754,2015/01/13 16:00:00+00,AV,Copacabana,PI,Regular,68
2755,2015/01/13 16:00:00+00,SC,São Cristóvão,O3,Inadequada,106
2756,2015/01/13 16:00:00+00,SP,Tijuca,O3,Regular,87
2757,2015/01/13 16:00:00+00,IR,Irajá,O3,Inadequada,123
2758,2015/01/13 16:00:00+00,BG,Bangu,O3,Má,205
2759,2015/01/13 16:00:00+00,CG,Campo Grande,O3,Inadequada,112
2760,2015/01/13 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,99
2761,2015/01/14 16:00:00+00,CA,Centro,PI,Boa,50
2762,2015/01/14 16:00:00+00,AV,Copacabana,PI,Regular,64
2763,2015/01/14 16:00:00+00,SC,São Cristóvão,PI,Regular,54
2764,2015/01/14 16:00:00+00,SP,Tijuca,PI,Regular,53
2765,2015/01/14 16:00:00+00,IR,Irajá,PI,Regular,52
2766,2015/01/14 16:00:00+00,BG,Bangu,PI,Regular,57
2767,2015/01/14 16:00:00+00,CG,Campo Grande,O3,Boa,49
2768,2015/01/14 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,39
2769,2015/01/15 16:00:00+00,CA,Centro,O3,Regular,56
2770,2015/01/15 16:00:00+00,AV,Copacabana,PI,Regular,65
2771,2015/01/15 16:00:00+00,SC,São Cristóvão,O3,Regular,91
2772,2015/01/15 16:00:00+00,SP,Tijuca,O3,Regular,79
2773,2015/01/15 16:00:00+00,IR,Irajá,O3,Regular,88
